행정구역,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
경기도 남양주시 (4136000000),"46,016","78,749","76,261","83,976","118,880","129,712","103,545","58,481","26,517","4,170",103
경기도 남양주시 와부읍(4136025000),"2,730","6,534","6,470","5,912","8,558","11,432","8,996","5,508","2,707",400,12
경기도 남양주시 진접읍(4136025300),"5,267","11,081","10,269","9,592","14,654","17,550","13,881","7,769","3,645",606,11
경기도 남양주시 화도읍(4136025600),"2,964","6,486","6,825","6,120","9,725","12,542","9,852","5,585","2,630",388,7
경기도 남양주시 화도읍동부출장소(4136025700),907,"1,368","1,120","1,371","2,195","2,237","2,036","1,053",450,108,1
경기도 남양주시 화도읍남부출장소(4136025800),"2,268","4,156","3,586","3,483","6,069","6,689","4,848","2,652","1,248",174,3
경기도 남양주시 진건읍(4136025900),539,"1,288","2,043","1,906","2,192","3,775","4,344","2,193","1,056",186,9
경기도 남양주시 오남읍(4136026200),"2,085","5,302","6,208","4,842","7,130","10,788","7,416","4,041","2,119",324,8
경기도 남양주시 퇴계원읍(4136026500),985,"2,071","2,854","2,933","3,131","4,749","5,334","2,704","1,240",179,2
경기도 남양주시 별내면(4136031000),637,"1,537","1,880","1,499","2,181","3,613","3,155","1,973","1,047",138,7
경기도 남양주시 수동면(4136034000),190,425,567,604,809,"1,477","2,139","1,338",670,161,5
경기도 남양주시 조안면(4136036000),98,187,288,266,404,636,928,571,248,41,3
경기도 남양주시 호평동(4136051000),"3,937","6,984","5,904","5,656","10,236","10,323","6,419","3,856","1,803",253,4
경기도 남양주시 평내동(4136052000),"2,394","4,443","4,363","4,389","6,143","7,217","4,457","2,451","1,162",192,1
경기도 남양주시 금곡동(4136053000),400,777,"1,591","1,975","1,807","2,927","3,983","2,139","1,047",168,4
경기도 남양주시 양정동(4136054000),58,85,228,242,209,349,515,278,121,18,2
경기도 남양주시 다산1동(4136054500),"10,736","12,987","9,816","16,425","21,392","14,407","10,413","6,384","2,475",351,12
경기도 남양주시 다산2동(4136056500),"3,346","4,554","3,517","4,508","7,485","6,063","4,078","2,045",766,119,2
경기도 남양주시 별내동(4136057000),"6,475","8,484","8,732","12,253","14,560","12,938","10,751","5,941","2,083",364,10
